cancer有啲都有得医嘅	有些癌症还是可以治的
check吓啲货	检查一下这些货
cut咗呢个镜头	把这个镜头剪掉
cut我线，咁大胆！	挂我线，那么大胆！
cut短啲头发	把头发剪短些
sorry sir，我唔系有心㗎	对不起警官，我不是故意的
㗾佢！	嘘他！
㧬开张枱	把那张桌子推开
㨆好的砖佢	把这些砖码好
㨆几本书当枕头	摞几本书当作枕头
㨘干净个茶杯	把脸盆刷干净
㨘到个盆擸擸炩	把盆擦得绷亮
㷫干件衫	把衣服烤干
㷫干条裤	把裤子烤干
㷫热煲水	把锅里的水烤热
䀹住佢！	盯死他！
䁓吓佢喺唔喺里便	看一下他在不在里面
䁪吓眼唔见咗佢，唔知去咗边度	一眨眼他就不见了，不知道哪儿去了
䁪吓眼就唔见人	一眨眼就没影儿了
䁪吓眼就过咗三年	一眨眼就过了三年
䂿到周身都湿晒	淋得全身都湿了
一世都系好兄弟	一辈子都是好兄弟
一中毒几分钟就瓜直晒	一中了毒，几分钟就完蛋了
一人读一匀	一人读一次
一人读一匀	一人读一遍
一件好事就畀佢搅埚咗	一件好事就让他弄糟了
一便睇，一便听	一边看，一边听
一系今日，一系就下星期一	要么今天，要么就下星期一
一系你哋扯先，我仲有嘢做	要么你们先走，我还有事情做
一系你行先喇，我要做埋啲手尾至得	要么你先走吧，我还要做完那些收尾的事
一系打个电话畀我，畀我听吓你把声吖	要不打个电话给我，让我听听你的声音
一个人去我唔够胆	一个人去我不敢
一个人去抑或两个人去？	一个人去还是两个人去？
一个人喺屋企煮饭	一个人在家里煮饭
一个人喺屋企，真冇瘾	一个人在家真无聊
一个人拎咁多嘢够你嗍气啦	一个人拿那么多东西，真够戗
一个人挜两个位	一个人霸占两个位子
一个人攞得喐咁多咩？	一个人拿得动那么多吗？
一个屈尾十走咗	一下子掉头走了
一个屈尾十走咗	一掉头溜掉了
一个换一个唔会蚀底	一个换一个不会吃亏
一个月几多家用？	一个月家庭开支要多少？
一个月度就翻嚟	大概一个月就回来
一个月有几多人工？	一个月有多少工资？
一个月间中休息几日	一个月偶尔休息几天
一个跛咗脚嘅细路，好辛苦噉样行入条巷仔	一个瘸了腿的小孩子，很辛苦地走进一条小巷
一个关斗碌落嚟	一个跟头滚下来
一个面包两份食	一个面包两人一起吃
一入去，交咗表，问两句就搅掂，真系快过打针	一进去，递上表格，答问两句，就完成了面试，工作效率真高！
一两蚊鸡都要注意节约	哪怕一两块钱也要注意节约
一出街就撞啱落雨，真系衰	一上街就刚好碰上下雨，真倒霉
一出门就落大雨，真系当衰	一出门就下大雨，真倒霉
一刀拮入去	一刀刺進去
一到天冷，手就有啲糠	一到冬天，手就有点干燥
一到天时冷个病就发作	一到冷天病就复发
一到过年啲餐馆都好旺	一到过年那些餐馆都生意兴隆
一到过年的餐馆都好旺	一到过年那些餐馆都生意兴隆
一匙羹生粉开两匙羹水	一勺子芡粉加两勺水
一千蚊钱我哋冇得畅	一千块钱我们找不开
一向牙齿当金使嘅陈总，被指讲一套做一套	一向讲信用的陈总被指口不对心
一吓唔觉意打烂只杯	一不小心把杯子打破了
一吓唔记得	突然想不起来
一味做，乜都唔理	一个劲儿地干活，别的都不管
一味挂住玩	总是惦记着玩儿
一味靠吓	只是靠吓唬人
一唔注意就畀人鼠咗	一不注意就给人拿走了
一啲冇花假	这件事，一点假都没有，绝对是真的
一啲啲小事，使乜咁巴闭呢！	一点点小事，何必那么大惊小怪！
一啲啲就够个啰	一点点就够了
一啲小事使乜咁大阵仗吖！	一点点小事何必那么虚张声势！
一啲小事，使也咁躁呀！	一点小事，何必那么暴躁呢！
一啲都唔奇	一点都不奇怪
一啲都唔好笑	一点都不好笑
一啲都唔复杂㗎	一点也不复杂
一啲风都冇，连树叶都喐都唔喐	一点儿风也没有，连树叶也一动不动
一嘢就扑过嚟	一下就扑过来
一坐亲船就头晕	一坐船就头晕
一场兄弟，我对你唔住	兄弟一场，我对不起你
一场波踢完就损手烂脚，你真系唔识保护自己	一场球踢下来就手脚都挂了花，你真不会保护自己
一场波踢完，个个都身水身汗	一场球踢完，个个都大汗淋漓的
一场豪雨，多处发生山泥倾泻	一场暴雨过后，很多陡坡都塌方了
一塞车就塞咗个几钟头	一堵车就堵了一个多小时
一多啲嘢做佢就揗鸡㗎嘞	事情稍多一点他就手忙脚乱的
一夜未瞌过一眼	一宿没合过眼
一字咁浅，边个都识啦	这不是明摆着吗，谁都知道啦
一定要吼实佢先得	一定要盯着它才行
一年一次嘅啫	一年一次而已
一年就标咗半尺高	一年就长高了半尺
一张一蚊	一元一张
一张相都冇影到	一张照片都没有拍到
一张票可以褦两个细蚊仔	一张票可以带两个小孩
一张蜡纸印三五百份就闲闲哋咯	一张蜡纸印三五百份不在话下
一想起嗰件事，我个心就好唔安乐	一想起那件事，我心里就不舒畅
一手拖住仔，一手拎菜篮	一手拖着孩子，一手提着菜篮子
一拳抌落佢个肚	一拳打在他肚子上
一捶打过去	一拳打过去
一揿佢，水就咇出嚟	一压它，水就吱出来
一拧转头就睇见佢	一回头就看见他
一支公去睇戏冇瘾	一个人去看电影没意思
一支公喺度做乜？	一个人在这里干什么？
一支公喺度做乜？	一个人在这里干什么？
一支公喺度做乜？	一个人在这里干什么？
一斤蚀咗二两	一斤亏损了二两
一斤铁得咁细嚿咋？	一斤铁才这么小块吗？
一于系噉啦	就这样吧
一于系噉话啦！	就这么定吧！
一于叫埋佢一齐去啦	一定要叫上他一块儿去
一于唔畀佢去	坚决不让他去
一于噉话啦	就这样办吧
一于扤佢要	一定要他要
一于揾到佢为止	一定要找到他为止
一于要做好佢	怎么也要把它做好
一日到黑周身唔得闲	一天到晚没有一点空
一日唔见个心就啰啰挛	一天不见就坐立不安
一日就搅掂晒	只用了一天就全干好了
一日睇二三十个症	一天治二三十个病人
一日行七堂路	一天走七十里路
一日行五十里路系闲闲哋啦	一天走五十里路是平常事
一日行几远路？	一天走多远路？
一日食三餐	一天吃三顿饭
一早就话过你㗎喇，你唔听之嘛	早就告诉你的，你不听罢了
一早就开始派筹喇	一大早就开始分发号码牌了
一早走咗啦，你咁迟先嚟，佢哋都去到冇雷公咁远咯	走了很久了，你来得这么迟，他们都走得老远了
一时三刻谂唔倒	我一时想不出
一时时唔同嘅	一个时候一个时候不同的
一有人上楼嚟，张枱就揗揗震	一有人上楼，桌子就颤个不停
一杯薄酒，失礼，失礼	一杯薄酒，不成敬意，不成敬意
一次过搬走晒啲杂物	一口气就把这些杂物全搬走
一步一步噉行	一步一步地走
一班二十五岁以上，到四十岁松啲嘅白领人士	一群25岁以上，到40岁多一点儿的白领人士
一亩田闲闲哋收得千零斤谷	一亩田随便能打一千来斤稻子
一盒饼干有成五十件	一盒饼干差不多有五十块
一眼睄过去	一眼瞟过去
一睇你揸拍啲姿势就知你系初哥	一看你拿球拍的姿势就知道你是新手
一睇到信号大家就埋手	一看到信号大家就下手
一睇到信号就散水！	一看到信号就分头逃走！
一笔扠咗两个字	一笔涂了两个字
一翻到屋企就死蛇烂鳝噉，踢都踢唔喐	一回到家就懒洋洋的，怎么踢他都不会动一动
一声枪响，吓得佢失惊无神	一声枪响，吓得他脸色都变了
一听讲考唔到大学，佢成个定晒形	听说考不上大学，他一下子就愣住了
一脚諵过去	一脚跨过去
一落班佢就急急脚去医院	一下班他就匆匆赶去医院
一落雨啲黄犬就贡晒出嚟	一下雨蚯蚓就都钻了出来
一蚊鸡买两嚿番枧，几着数呀	一块钱买两块肥皂，挺划得来嘛
一行一行噉数	一行一行地数
一表扬佢就嚟神	一表扬他就来劲儿
一见佢衰样我就眼冤	一见他那副模样我就讨厌
一见到我就烚熟狗头噉，唔谎有好嘢啦	他一见到我就笑得呲牙咧嘴的，一定没什么好事
